text,intent,sentiment,urgency,risk,department
"The attrition rate in the tech division has reached 24% over the last 12 months. At this pace, we'll struggle to meet delivery commitments in H2.",Escalation,Negative,High,High,Management
I wanted to check in on the status of the open risk items before the audit team arrives next week. Just want to make sure we're prepared.,Inquiry,Neutral,High,High,Finance
"We processed the refund, though the customer wasn't fully satisfied with the timeline. They're still a client, but we should follow up to restore confidence.",Information,Neutral,Medium,Medium,Finance
The shared network drive is inaccessible for the entire Mumbai office. We have a client deliverable due at noon and cannot retrieve the project files.,Escalation,Negative,High,High,IT
I wanted to flag that the delivery vehicle assigned to Route 7 has not had its scheduled service. The driver has mentioned unusual noise from the engine.,Request,Neutral,Medium,Medium,Operations
I'd like to flag that the exit interview for a recently departed team member was never conducted despite HR confirming it would be. This feedback would have been valuable.,Complaint,Negative,Low,Low,HR
We've received some informal feedback suggesting that the new performance rating system is being perceived as unfair by middle management. We should address this proactively.,Information,Negative,Medium,Medium,Management
"Hi team, just wanted to confirm that the VPN migration scheduled for Friday has been completed successfully. All users should now be on the new endpoint.",Information,Positive,Low,Low,IT
Does the company have a policy on side projects or consulting work done in personal time? I want to make sure I'm not inadvertently in conflict with anything.,Inquiry,Neutral,Low,Low,HR
Our main supplier has informed us of a 3-week delay due to port congestion. This will affect our ability to fulfil orders scheduled for the second half of next month.,Information,Negative,High,High,Operations
Just following up on the open requisition for a senior data engineer on my team. The role has been vacant for over three months and the team is stretched.,Escalation,Negative,Medium,Medium,HR
We've had inconsistent communication from different departments about the new hybrid work policy. Can a single clarifying note be sent company-wide?,Request,Neutral,Medium,Low,General
Could we get an updated list of approved vendors? The procurement team keeps receiving requests for new additions and we'd like to have a single source of truth.,Request,Neutral,Low,Low,Finance
The situation appears to be under control at the moment. I'll keep monitoring and escalate if anything changes in the next 48 hours.,Information,Neutral,Medium,Medium,Operations
The induction program for our new joiners this quarter was really well organized. The sessions were informative and the welcome kit was a thoughtful touch.,Appreciation,Positive,Low,Low,HR
Could Finance release the advance payment for the conference registration? The early-bird deadline is this Thursday and the saving is significant.,Request,Neutral,Medium,Low,Finance
We've been waiting three weeks for the replacement laptop for our new analyst. She's currently sharing a machine with a colleague.,Complaint,Negative,Medium,Low,IT
The internal communications newsletter has become much more engaging since the revamp. The articles are relevant and it feels less like a top-down broadcast.,Appreciation,Positive,Low,Low,General
The numbers in last month's report were fine. This month there's a small deviation that may or may not indicate a trend. I've attached the comparison for your review.,Information,Neutral,Medium,Medium,Finance
Can the ops team reschedule the maintenance window to avoid overlapping with our quarter-end processing period? The current timing is problematic.,Request,Neutral,Medium,Medium,Operations
Could we revisit the shift rotation schedule for the night team? The current arrangement creates a 14-hour gap in coverage that we've had to patch with overtime.,Request,Neutral,Medium,Medium,Operations
Can the facilities team look into the air conditioning in the second floor meeting rooms? The temperature has been inconsistent and it's affecting back-to-back client meetings.,Request,Neutral,Low,Low,Operations
This is to confirm that all departmental heads have approved their Q1 variance reports. The consolidated version will be shared with the CFO by Thursday.,Information,Neutral,Low,Low,Finance
One of our senior directors has submitted a resignation effective immediately. This will leave a critical gap in the enterprise accounts team during a peak period.,Escalation,Negative,High,High,Management
Please share the revised travel and accommodation policy. Several team members are planning business trips next month and need clarity on reimbursement limits.,Request,Neutral,Medium,Low,HR
Please initiate the wire transfer for the international vendor payment due today. The banking details and invoice are attached for your reference.,Request,Neutral,High,Medium,Finance
Can you help me set up two-factor authentication on my work account? I tried following the guide but got stuck on the verification step.,Request,Neutral,Low,Low,IT
A key regulatory submission deadline is in 48 hours and two required sign-offs have not been obtained. The implications of missing this deadline are significant.,Escalation,Negative,High,High,Management
I've noticed that someone accessed the admin panel from an unrecognized IP address at 11:45 PM last night. I haven't been able to reach the account owner.,Escalation,Negative,High,High,IT
This is to confirm that all mandatory compliance training has been completed by 100% of employees in the legal department before the deadline. Please update your records.,Information,Neutral,Low,Low,HR
The finance portal has been showing incorrect tax deduction amounts in payslips for the last two months. Employees are concerned about their ITR filings.,Complaint,Negative,High,High,Finance
I'd like to flag a potential conflict of interest with one of our shortlisted vendors. I'd prefer to discuss this privately before we proceed further in the selection process.,Escalation,Negative,Medium,High,Management
The automated backup job has been failing silently for the past five days. I only noticed because I checked the logs manually. We may have a data gap.,Escalation,Negative,High,High,IT
The office supply cabinet on the second floor has been empty for almost two weeks. Basic items like notepads and pens have run out.,Complaint,Negative,Low,Low,General
Could the finance team share a template for preparing a business case for a new hire? We want to include cost modelling and ROI projections.,Request,Neutral,Low,Low,Finance
"The new employee referral program is now active. Refer a candidate who gets hired and stays for six months to earn a bonus of Rs. 25,000.",Information,Positive,Low,Low,HR
Can we schedule 30 minutes this week to align on the Q2 OKRs? A few of the key results need to be revised based on the market shift we discussed last week.,Request,Neutral,Medium,Low,Management
Please initiate the background check process for three new hires starting next month. Their details are attached.,Request,Neutral,Medium,Medium,HR
I'd like to formally recognize Arjun Kapoor for his contributions to the Q1 audit preparation. His attention to detail made a difficult process much smoother.,Appreciation,Positive,Low,Low,Finance
"The new expense submission tool doesn't work on Safari. Since most of the field team uses MacBooks, this is blocking a large group from submitting claims.",Complaint,Negative,Medium,Medium,IT
Can someone explain the difference between the standard and premium support tiers in our current vendor contract? I want to know what we're entitled to.,Inquiry,Neutral,Low,Low,Finance
The Q4 financial statements show an unexplained variance of Rs. 12 lakhs in the operational expenses line. This needs to be investigated before the board presentation.,Escalation,Negative,High,High,Finance
Our cold storage temperature dropped below the safety threshold overnight. We have a batch of perishable goods that needs to be inspected before distribution today.,Escalation,Negative,High,High,Operations
Thank you for processing my relocation assistance so quickly. It made a stressful move much more manageable and I really appreciate the support from the HR team.,Appreciation,Positive,Low,Low,HR
A member of my team has disclosed a personal mental health situation to me. I want to understand what support the company can offer and how to handle this sensitively.,Inquiry,Neutral,Medium,High,HR
Is there a central calendar for company-wide events? I keep missing announcements that seem to go out on different channels with no consistent timing.,Inquiry,Neutral,Low,Low,General
The vendor responded positively to our initial inquiry. They can meet our timeline but the pricing is at the higher end of our range.,Information,Neutral,Medium,Medium,Finance
I received my revised payslip but the numbers still don't match what I calculated. I may be missing something — could someone walk me through the deductions?,Inquiry,Neutral,Medium,Medium,Finance
Thank you to whoever left the lost umbrella at the reception desk — mine was returned intact and I genuinely didn't expect it. Small things like this matter.,Appreciation,Positive,Low,Low,General
I'd like to report that I've observed a pattern of differential treatment within our team that may relate to gender. I'd prefer to discuss this confidentially first.,Escalation,Negative,High,High,HR
I'd like to request a no-objection certificate for a visa application I'm submitting this week. It needs to be on company letterhead.,Request,Neutral,Medium,Low,HR
The production environment has gone down. Revenue transactions are not going through and clients are calling. We need all hands immediately.,Escalation,Negative,High,High,IT
Can I access the employee assistance program if the issue is work-related rather than personal? I'm unclear on what it covers.,Inquiry,Neutral,Low,Low,HR
The dev environment was restored perfectly after last week's crash. The team can now continue sprint work without disruption. Really appreciate the quick turnaround.,Appreciation,Positive,Low,Low,IT
I wanted to acknowledge Ramesh from the security team who went out of his way to help me retrieve a lost item. It's that kind of small gesture that reflects well on the company culture.,Appreciation,Positive,Low,Low,General
"The board seemed engaged during the presentation, though the questions focused heavily on the assumptions behind the growth projections.",Information,Neutral,Medium,Medium,Management
Could the IT team enable screen recording on my workstation? I need to create tutorial videos for the new internal training program.,Request,Neutral,Low,Low,IT
Please share the final headcount plan for next year. Several departments have submitted conflicting numbers and we need a single approved version for the board pack.,Request,Neutral,Medium,Low,Management
The mid-year performance calibration sessions are scheduled for the week of 20th May. All people managers should clear their calendars for at least two half-days.,Information,Neutral,Low,Low,Management
I've been trying to coordinate a meeting between three departments for two weeks now. No one seems to own the agenda and the session keeps getting pushed.,Complaint,Negative,Medium,Low,General
Could someone from procurement confirm when the new office stationery order will arrive? We've been out of printer paper for two days.,Inquiry,Neutral,Low,Low,Operations
I'm trying to reconcile last month's credit card statement but four transactions don't have matching receipts. Can Finance advise on how to handle undocumented expenses?,Inquiry,Neutral,Medium,Medium,Finance
"I have a few thoughts on the restructuring plan that I'd like to share before it's finalized. Not a formal objection, but perspective worth considering.",Request,Neutral,Medium,Medium,Management
The merger integration timeline is slipping. We're now two weeks behind on three workstreams and the steering committee meeting is in 10 days.,Escalation,Negative,High,High,Management
The internal audit for the IT department found no major findings this cycle. Minor observations have been shared with the IT head for action within 30 days.,Information,Positive,Low,Low,IT
I'd like to understand what data is being collected by the endpoint monitoring tool installed last month. A policy document would be helpful.,Inquiry,Neutral,Low,Medium,IT
Three of the action items from last quarter's review have been reassigned twice without being completed. I'm flagging this ahead of the next governance call.,Escalation,Negative,Medium,Medium,Operations
A vendor has notified us that they'll apply a 2% late payment penalty if their outstanding invoice isn't cleared by Friday. The amount is Rs. 6.2 lakhs.,Escalation,Negative,High,Medium,Finance
Can operations confirm whether the building's backup generator was tested last month? The maintenance log doesn't reflect a recent test.,Inquiry,Neutral,Low,Medium,Operations
The parking gate barrier broke while I was driving out last evening and caused minor damage to my car. I'd like to know the process for reporting this.,Complaint,Negative,Medium,Medium,General
I'd like to request an extension on the quarterly inventory audit deadline. Two of our key warehouse staff are on leave this week and next.,Request,Neutral,Medium,Low,Operations
